filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
1232088.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",18,[18],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
4151899.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",58,[58],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
939140.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",22,[22],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
939140.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",31,[31],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
cc0ac48d34860c5bb3f9112f4d9a0300.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",90,[90],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
cc0ac48d34860c5bb3f9112f4d9a0300.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",105,[105],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
cc0ac48d34860c5bb3f9112f4d9a0300.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",142,[142],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
cc0ac48d34860c5bb3f9112f4d9a0300.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",172,[172],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
cc0ac48d34860c5bb3f9112f4d9a0300.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",177,[177],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
cc0ac48d34860c5bb3f9112f4d9a0300.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,"Function call with shell=True parameter identified, possible security issue.",178,[178],https://bandit.readthedocs.io/en/latest/plugins/b604_any_other_function_with_shell_equals_true.html
